DrugBank,B3DB
Desvenlafaxine,desvenlafaxine
Isometheptene,isometheptene
Methyltestosterone,methyltestosterone
Dexmethylphenidate,dexmethylphenidate
Propylhexedrine,101-40-6
Methacholine,methacholine
Naphazoline,naphazoline
Stanozolol,stanozolol
Bufuralol,bufuralol
Lornoxicam,lornoxicam
Sulfaphenazole,sulfaphenazole
Seproxetine,seproxetine
Ketobemidone,ketobemidone
Enclomiphene,clomiphene
Aceclofenac,aceclofenac
Drotaverine,drotaverine
Benzyl alcohol,benzyl alcohol
Pinacidil,pinacidil
Difluprednate,difluprednate
Capsaicin,capsaicine
Halcinonide,halcinonide
Dimercaprol,dimercaprol
Mebutamate,mebutamate
Levopropoxyphene,levopropoxyphene
Hexocyclium,hexocyclium
Lodoxamide,lodoxamide
Mafenide,mafenide
Phenyl aminosalicylate,phenyl 4-aminosalicylate
Plerixafor,plerixafor
Niclosamide,niclosamide
Protokylol,protokylol hydrochloride
Pyrvinium,pyrvinium
Phenylbutyric acid,4-phenylbutyric acid
Sulconazole,sulconazole
Sulfameter,sulfameter
Tiopronin,tiopronin
Triethylenetetramine,trientine hydrochloride
Bisphenol A,bisphenol a
(R)-Atenolol,atenolol
Hymecromone,hymecromone
"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine","(2r)-1-(2,6-dimethylphenoxy)propan-2-amine"
Felbinac,felbinac
"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",donepezil
(S)-econazole,(s)-econazole
"N~3~-cyclopropyl-N~4~'-(cyclopropylmethyl)-6-methylbiphenyl-3,4'-dicarboxamide",515134-70-0
2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide,2-chloro-5-[(1s)-1-hydroxy-3-oxo-2h-isoindol-1-yl]benzenesulfonamide
Fasudil,fasudil
Sulthiame,sulthiame(sultiame)
Mardepodect,pf-2545920
(R)-Fluoxetine,(r)-fluoxetine
(S)-Fluoxetine,fluoxetine
R-82913,r-82913
Triclosan,triclosan
Thiamphenicol,thiamphenicol
"4-{(1E)-3-OXO-3-[(2-PHENYLETHYL)AMINO]PROP-1-EN-1-YL}-1,2-PHENYLENE DIACETATE",y12
"4-{2-[(7-amino-2-furan-2-yl[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl)amino]ethyl}phenol",17 zm0241385
Ethyl biscoumacetate,ethyl biscoumacetate
Diloxanide,diloxanide
Sulfamoxole,sulfamoxole
Tymazoline,tymazoline
Antazoline,antazoline
Dimetindene,dimethindene
Roxatidine acetate,roxatidine acetate
Bopindolol,bopindolol
Dichloroacetic acid,dichloroacetate
Ivacaftor,ivacaftor
DPDPE,dpdpe
Rilpivirine,rilpivirine
Vemurafenib,vemurafenib
Regorafenib,regorafenib
Ponatinib,ponatinib
Trametinib,trametinib
Perospirone,perospirone
Amperozide,amperozide
Chlorcyclizine,chlorcyclizine
Isoxicam,brl52580
Iopanoic acid,iopanoic acid
Iopamidol,iopamidol
Indalpine,indalpine
Ifenprodil,ifenprodil
Hexoprenaline,hexoprenaline
Fursultiamine,fursultiamine
Fluocortolone,fluocortolone
Fominoben,fominoben
Flumequine,flumequine
Floctafenine,floctafenine
Fenbufen,fenbufen
Etilefrine,etilefrine
Etozoline,etozoline
Etifoxine,etifoxine
Dimetacrine,dimetacrine
Diosmin,diosmin
Cyamemazine,cyamemazine
Demexiptiline,demexiptiline
Clocapramine,clocapramine
Chlorphenoxamine,chlorphenoxamine
Clobutinol,clobutinol
Clinofibrate,clinofibrate
Beclamide,beclamide
Captodiame,captodiame
Bromopride,bromopride
Brotizolam,brotizolam
Befunolol,befunolol
Benzoctamine,benzoctamine
Benactyzine,benactyzine
Bisacodyl,bisacodyl
Benfluorex,benfluorex
Bromhexine,bromhexine
Cefminox,cefminox
Acipimox,acipimox
Tibolone,tibolone
Ciprofibrate,ciprofibrate
Idebenone,idebenone
Benzydamine,benzydamine
Tixocortol,tixocortol
Pinaverium,pinaverium
Benzoyl peroxide,benzoyl peroxide
Stiripentol,stiripentol
Paraldehyde,paraldehyde
Diiodohydroxyquinoline,iodoquinol
Water,water
Ioversol,ioversol
Isosulfan blue,schembl180549
Nitrogen,nitrogen
Etizolam,etizolam
Brifentanil,brifentanil
Dosulepin,dothiepin
Mirfentanil,mirfentanil
Lofentanil,lofentanil
Trefentanil,trefentanil
Viloxazine,viloxazine
Nisoxetine,nisoxetine
Daledalin,daledalin
Talsupram,talsupram
Talopram,talopram
Tandamine,tandamine
Etoperidone,etoperidone
Mepiprazole,mepiprazole
Lorpiprazole,lorpiprazole
Piracetam,piracetam
Dexibuprofen,(s)-(+)-ibuprofen
Dexketoprofen,ketoprofen
Melperone,melperone
Blonanserin,blonanserin
Clonixin,clonixin
Zotepine,zotepine
Nicorandil,nicorandil
Pirlindole,pirlindole
Lacidipine,lacidipine
Benmoxin,benmoxin
Iproclozide,iproclozide
Toloxatone,toloxatone
Moxonidine,moxonidine
Mebanazine,mebanazine
Octamoxin,octamoxin
Phenoxypropazine,phenoxypropazine
Pheniprazine,pheniprazine
Caroxazone,caroxazone
Tegafur,tegafur
Imidafenacin,imidafenacin
Doxofylline,doxofylline
Fimasartan,fimasartan
Pipamperone,pipamperone
Propacetamol,propacetamol
Tianeptine,tianeptine
Morniflumate,morniflumate
Setiptiline,setiptiline
Aptazapine,aptazapine maleate
Metralindole,metralindole
Carindacillin,carindacillin
Oxaprotiline,oxaprotiline
Tyropanoic acid,tyropanoate sodium
Iopodic acid,ipodate
Levobetaxolol,levobetaxolol
Hydroxyamphetamine,4-(2-aminopropyl)phenol
Fluprednisolone,fluprednisolone
Meprednisone,meprednisone
Dexpanthenol,dexpanthenol
Propyliodone,propyliodone
Glycerin,glycerol
Iocetamic acid,iocetamic acid
Acrivastine,acrivastine
Enalaprilat,enalaprilat
Cetyl alcohol,1-hexadecanol
Mequinol,mequinol
Octocrylene,octocrylene
Levmetamfetamine,levmetamfetamine
Phenyl salicylate,phenyl salicylate
Butamben,butyl 4-aminobenzoate (butamben)
Anthralin,anthralin
Pentoxyverine,carbetapentane
Panthenol,dl-panthenol
(S)-camphor,(-)-camphor
Selexipag,selexipag
Alfaxalone,alphaxalone
Azaperone,azaperone
Chloroform,trichloromethane (chloroform)
Chlorobutanol,chlorobutanol
Diclazuril,diclazuril
Florfenicol,florfenicol
Medetomidine,medetomidine
Oleandomycin,oleandomycin
Xylazine,xylazine
Nalorphine,nalorphine
Difloxacin,sevoflurane
Etymemazine,etymemazine
Dihydrostreptomycin,dihydrostreptomycin
Isoflupredone,isoflupredone
Metoserpate,metoserpate
Romifidine,romifidine
Tiletamine,tiletamine
Toluene,toluene
Detomidine,detomidine
Zolazepam,zolazepam
Pipradrol,pipradrol
Levoleucovorin,levoleucovorin
Bilastine,bilastine
Normethadone,normethadone
Dehydrocholic acid,dehydrocholic acid
Tafamidis,tafamidis
Rebamipide,rebamipide
Psilocybin,psilocybine
Acalabrutinib,acalabrutinib
Ebastine,efavirenz
Rilmenidine,rilmenidine
Benfotiamine,benfotiamine
Rifamycin,rifamycin
(R)-Praziquantel,(r)-praziquantel
Talinolol,talinolol
Esketamine,esketamine
Ertugliflozin,ertugliflozin
Etiracetam,etiracetam
Prulifloxacin,prulifloxacin
Deflazacort,deflazacort
Flomoxef,flomoxef
Kynurenic Acid,kynurenic acid
Selinexor,selinexor
Ilaprazole,ilaprazole
Benznidazole,benznidazole
Diacerein,diacerein
GW-406381,gw406381
Fostamatinib,fostamatinib
Alpelisib,alpelisib
Ozagrel,ozagrel
Letermovir,letermovir
Vesnarinone,vesnarinone
Tetrahydropalmatine,tetrahydropalmatine
m-Chlorophenylpiperazine,1-(3-chlorophenyl)piperazine
Sultamicillin,sultamicillin
Vinpocetine,vinpocetine
Erdafitinib,erdafitinib
Sarpogrelate,sarpogrelate
Gepirone,gepirone
Faropenem,faropenem
Bunazosin,bunazosin
Iguratimod,iguratimod
Edaravone,edaravone
Triclabendazole,triclabendazole
Atevirdine,atevirdine
Tacedinaline,tacedinaline
Simendan,levosimendan
Nefopam,nefopam
Eltanolone,pregnanolone
Temocillin,temocillin
Esreboxetine,reboxetine
Bromperidol,bromperidol
Saccharin,saccharin
Nadifloxacin,nadifloxacin
Ketanserin,ketanserin
Taurolidine,taurolidine
Piribedil,piribedil
Piritramide,piritramide
Raclopride,raclopride
Mizolastine,mizolastine
Fluocinolone,fluocinolone
Mebeverine,mebeverine
Sisomicin,sisomicin
Isoquercetin,isoquercitrin
Protionamide,prothionamide
Ritanserin,ritanserin
Spiradoline,spiradoline
Perazine,perazine
Racivir,racivir
Cicletanine,cicletanine
Benserazide,benserazide
Tandospirone,tandospirone
Benperidol,benperidol
Oxatomide,oxatomide
Eltoprazine,eltoprazine
Trofosfamide,trofosfamide
Theodrenaline,theodrenaline
Opipramol,opipramol
Fenobam,fenobam
Pivagabine,pivagabine
Prothipendyl,prothipendyl
Cortivazol,cortivazol
Dimiracetam,dimiracetam
Tiapride,tiapride
Ornidazole,ornidazole
Liarozole,liarozole
Nefiracetam,nefiracetam
Pyritinol,pyritinol
Gacyclidine,gacyclidine
Valnoctamide,valnoctamide
Amitriptylinoxide,amitriptylinoxide
Norflurane,norflurane
Clobetasone,clobetasone
Nandrolone,nandrolone
Alclofenac,alclofenac
Daidzein,daidzein ok
Butaperazine,butaperazine
Medifoxamine,medifoxamine
Dibenzepin,dibenzepin
Alaproclate,alaproclate
Propanidid,propanidid
Pramiracetam,pramiracetam
Proxibarbal,proxibarbal
Quinupramine,quinupramine
Clothiapine,clothiapine (clotiapine)
Ethyl chloride,chloroethane
Prifinium,prifinium
Phthalylsulfathiazole,phthalylsulfathiazole
Cefatrizine,cefatrizine
Sultopride,sultopride
Dibekacin,dibekacin
Pimethixene,pimethixene
Sulfaisodimidine,sulfisomidine
Azidamfenicol,azidamfenicol
Epicillin,epicillin
Febarbamate,febarbamate
Proscillaridin,proscillaridin
Trichloroethylene,trichloroethene
Tetrazepam,tetrazepam
Pyrithyldione,pyrithyldione
Pinazepam,pinazepam
Fenozolone,fenozolone
Pheneticillin,pheneticillin
Deanol,deanol
Phenprobamate,phenprobamate
Pheneturide,pheneturide
Bromisoval,bromisoval
Feprazone,feprazone
Vinbarbital,vinbarbital
Norfenefrine,norfenefrine
Melitracen,melitracen
Emetine,emetine hydrochloride
Terguride,terguride
Oxypertine,oxypertine
Lofepramine,lofepramine
Pentetrazol,pentylenetetrazole (metrazole)
Pirisudanol,pirisudanol
Troxipide,troxipide
Tolonidine,tolonidine
Flutrimazole,flutrimazole
Proglumide,proglumide
Fenticonazole,fenticonazole
Prolintane,prolintane
Medazepam,medazepam
Proxyphylline,proxyphylline
Nicomorphine,nicomorphine
Cefcapene,cefcapene
Cadralazine,cadralazine
Oxaflozane,oxaflozane
Cefodizime,cefodizime
Bephenium,bephenium
Cyclofenil,cyclofenil
Meptazinol,meptazinol
Iprindole,iprindole
Budipine,budipine
Carfecillin,carfecillin
Emepronium,emepronium
Veralipride,veralipride
Propyphenazone,propyphenazone
Gedocarnil,gedocarnil
Ethenzamide,ethenzamide
Bevonium,bevonium
Bifemelane,bifemelane
Nizofenone,nizofenone
Trifluperidol,trifluperidol
Moperone,moperone
Thiopropazate,thiopropazate
Carumonam,carumonam
Emylcamate,emylcamate
Allobarbital,allobarbital
Succinylsulfathiazole,succinylsulfathiazole
Metopimazine,metopimazine
Etamiphylline,etamiphyllin
Diethyl ether,diethylether (ether)
Oxiracetam,oxiracetam
Phenoperidine,phenoperidine
Umifenovir,arbidol
Carbuterol,carbuterol
Ipriflavone,ipriflavone
Oxolinic acid,oxolinic
Loprazolam,loprazolam
Nikethamide,nikethamide
Proquazone,proquazone
Hexapropymate,hexapropymate
Eberconazole,eberconazole
Fluanisone,fluanisone
Propicillin,propicillin
Bekanamycin,bekanamycin
Mosapramine,mosapramine
Clometocillin,clometocillin
Vinyl ether,divinylether
Niaprazine,niaprazine
Distigmine,distigmine
Sulbenicillin,sulbenicillin
Fenquizone,fenquizone
Diphemanil,diphemanil
Halometasone,halometasone
Cyclobarbital,cyclobarbital
Methylpentynol,3-methyl-1-pentyn-3-ol
Fenoxazoline,fenoxazoline
Bemegride,bemegride
Penamecillin,penamecillin
Mephenoxalone,mephenoxalone
Meclofenoxate,meclofenoxate
Obidoxime,
Vorozole,vorozole
Vinylbital,vinylbital
Sulfamethoxypyridazine,sulfamethoxypyridazine
Lidoflazine,lidoflazine
Rufloxacin,flupentixol
Cefazedone,cefazedone
Imipramine oxide,imipraminoxide
Dixyrazine,dixyrazine
Fipexide,fipexide
Acemetacin,acemetacin
Penfluridol,penfluridol
Tilidine,tilidine
Dropropizine,dropropizine
Linopirdine,linopirdine
Dimemorfan,dimemorfan
Talampicillin,talampicillin
Aspoxicillin,aspoxicillin
Carbromal,carbromal
Oxomemazine,oxomemazine
Ceftezole,ceftezole
Meprotixol,meprotixol
Pipemidic acid,pipemidic
Doxefazepam,doxefazepam
Clopenthixol,clopenthixol
Cloprednol,cloprednol
Nifuroxazide,nifuroxazide
Lormetazepam,lormetazepam
Fluticasone,fluticasone
Adefovir,adefovir
Brofaromine,brofaromine
Candesartan,candesartan
Estradiol valerate,estradiol valerate
Cyclopropane,cyclopropane (trimethylene)
SB-269970,201038-74-6
Pipequaline,pipequaline
Nordazepam,1088-11-5
Acetyl sulfisoxazole,sulfisoxazole acetyl
Hopantenic acid,hopantenic acid
(S)-Warfarin,(s)-warfarin
Dexverapamil,dexverapamil
Dimercaptosuccinic acid,succimer
Menthol,menthol
Synthetic camphor,camphor
Diphenylguanidine,"1,3-diphenylguanidine"
Telotristat,telotristat
Hydrocortisone aceponate,hydrocortisone-aceponate
Hydrocortisone acetate,hydrocortisone-acetate
Hydrocortisone butyrate,hydrocortisone-butyrate
Hydrocortisone probutate,hydrocortisone-buteprate
Hydrocortisone succinate,hydrocortisone-hemisuccinate
Hydrocortisone valerate,hydrocortisone-valerate
Hydrocortisone cypionate,hydrocortisone cypionate
Loteprednol,loteprednol
Prednisolone tebutate,prednisolone-tebutate
Prednisolone hemisuccinate,prednisolone hemisuccinate
Isoflupredone acetate,isoflupredone-acetate
Methylprednisolone aceponate,methylprednisolone-aceponate
Methylprednisolone hemisuccinate,methylprednisolone hemisuccinate
Paramethasone acetate,paramethasone-acetate
Chlorphenesin carbamate,chlorphenesin carbamate
Difluocortolone pivalate,diflucortolone pivalate
Dextrorphan,dextrorphan
Tenivastatin,simvastatin acid
Cefamandole nafate,cefamandole nafate
Cidoxepin,sinequan
Cycloguanil,cycloguanil
Litoxetine,litoxetine
Dexpramipexole,dexpramipexole
Dubermatinib,compound 13
Dextromethadone,dextromethadone
Epalrestat,epalrestat
Xanomeline,xanomeline
Mexazolam,mexazolam
Oxazolam,oxazolam
Prednisolone acetate,prednisolone acetate
Aminopromazine,aminopromazine
Mecloxamine,mecloxamine
Buthiazide,buthiazide
Pipethanate,piperilate
Amyl acetate,pentyl acetate
Clorotepine,clorotepine
Homochlorcyclizine,homochlorcyclizine
Methane,methane
Nifekalant,nifekalant
Levosulpiride,sulpiride
Fasoracetam,fasoracetam
Revaprazan,revaprazan
Dextilidine,tilidine
Tosufloxacin,tosufloxacin
Flindokalner,bms-204352
S-Apomorphine,apomorphine_r
Ilepcimide,ilepcimide
Indatraline,indatraline
Spiperone,spiperone
Acecainide,n-acetylprocainamide
L-Cycloserine,l-cycloserine
Choline,choline
Biotin,bioepiderm
Spermine,spermine
Adenosine phosphate,9-(5-o-phosphonopentofuranosyl)-9h-purin-6-amine
Lutein,xanthophyll
Riboflavin,riboflavin
N-Acetylglucosamine,2-acetamido-2-deoxyglucose
Leucine,leucine
Glutathione,gamma-glutamylcysteinylglycine
Tryptophan,dl-tryptophan
Pyridoxal,pyridoxal
Glycine,glycine
Thiamine,thiamine
Alanine,dl-alanine
Pyridoxine,pyridoxine
Menadione,menadione
Fluvoxamine,fluvoxamine
ATP,adenosine triphosphate
Adenine,adenine
Baclofen,baclofen
Pravastatin,cp107
Amphetamine,amphetamine
Nicotine,nicotine
Valsartan,l-valsartan
Lorazepam,lorazepam
Flunisolide,nasalide
Ramipril,ramipril
Ethchlorvynol,ethchlorvynol
Betaxolol,betaxolol
Cevimeline,cevimeline
Fluconazole,fluconazole
Phentermine,phentermine
Tramadol,tramadol
Indecainide,indecainide hydrochloride
Caffeine,58-08-2
Pyrimethamine,pyrimethamine
Oseltamivir,oseltamivir
Succinylcholine,succinylcholine
Dofetilide,dofetilide
Citalopram,citalopram
Adapalene,adapalene
Midodrine,midodrine
Ticlopidine,ticlopidine hydrochloride
Reserpine,zolpidem
Nelfinavir,nelfinavir mesylate
Indinavir,indinavir
Eletriptan,eletriptan
Diflorasone,flumethasone (flumetasone and diflorasone)
Moxifloxacin,354812-41-2
Enflurane,enflurane
Oxyphenonium,oxyphenonium
Pregabalin,pregabalin
Torasemide,torasemide
Isoetharine,isoetharine
Guanadrel,disulfiram
Temazepam,temazepam
Methyclothiazide,methyclothiazide
Nevirapine,129618-40-2
Aminosalicylic acid,clofazimine
Butabarbital,butobarbitone
Butalbital,butalbital
Cefotiam,cefotiam
Lovastatin,monacolin k
Reboxetine,reboxetine
Alclometasone,schembl13026158
Pipobroman,pipobroman
Ziprasidone,ziprasidone
Oxiconazole,oxiconazole
Cladribine,piroxicam
Milrinone,milrinone
Phenytoin,phenytoin
Cabergoline,"n-[3-(dimethylamino)propyl]-n-(ethylcarbamoyl)-7-prop-2-enyl-6,6a,8,9,10,10a-hexahydro-4h-indolo[4,3-fg]quinoline-9-carboxamide"
Methysergide,methysergide
Mesalazine,mesalamine
Idoxuridine,ophthalmadine
Clotrimazole,clotrimazole
Terconazole,triaconazole
Carmustine,bis(chloroethyl)nitrosourea (carmustine) (bcnu)
Cycloserine,dl-cycloserine
Metoprolol,metoprolol
Dicoumarol,dicumarol
Ropinirole,ropinirole (skf101468)
Sulfanilamide,sulfanilamide
Diatrizoate,sodiumamidotrizoate
Crotamiton,crotamiton
Chlorotrianisene,chlorotrianisene
Topiramate,topiramate
Theophylline,theophylline
Cefmetazole,ctk7d0713
Betazole,betazole
Lidocaine,lidocaine
Olmesartan,olmesartan medoxomil
Venlafaxine,venlafaxine
Amsacrine,amsacrine
Disopyramide,disopyramide
Argatroban,121785-71-5
Chlorambucil,chlorambucil
Clemastine,clemastinum
Etomidate,pimozide
Amcinonide,cyclocort
Morphine,morphine
Atomoxetine,atomoxetine
Etonogestrel,etonogestrel
Ropivacaine,"1-propyl-2',6'-pipecoloxylidide"
Bupivacaine,bupivacaine
Talbutal,talbutal
Flucloxacillin,chembl1622855
Dapiprazole,dapiprazole
Mitomycin,mitomycin
Desogestrel,chembl3560261
Pentobarbital,pentobarbital
Valproic acid,valproate
Zolmitriptan,139264-82-7
Gefitinib,gefitinib
Acetaminophen,acetaminophen (p-acetamidophenol)
Codeine,"3-methoxy-17-methyl-7,8-didehydro-4,5-epoxymorphinan-6-ol"
Bexarotene,bexarotene
Amitriptyline,50-48-6
Ibutilide,ibutilide
Piperacillin,piperacillin
Indomethacin,indomethacin
Methadone,methadone
Fluorometholone,fluoromethalone
Atenolol,atenolol 
Hydromorphone,hydromorphone
Floxuridine,floxuridine
Pyrazinamide,m-xylene
Ethambutol,ritonavir
Diltiazem,34933-06-7
Terfenadine,terfenadine
Cetirizine,levocetirizine
Protriptyline,protriptyline
Metixene,metixene
Trimethadione,trimethadione
Clobazam,22316-47-8
Tioguanine,thioguanine
Buclizine,buclizine
Aminohippuric acid,4-aminohippuric acid
Alfuzosin,alfuzosin
Mefloquine,mefloquine
Nitisinone,nitisinone
Chlorzoxazone,chlorzoxazone
Methylergometrine,mls000756415
Doxylamine,doxylamine
Grepafloxacin,grepafloxacin
Norepinephrine,dl-arterenol
Meprobamate,meprobamate
Mirtazapine,mirtazapine
Thiethylperazine,thiethylperazine
Trihexyphenidyl,trihexyphenidyl
Levonorgestrel,levonorgestrel
Treprostinil,treprostinil
Timolol,timolol
Dydrogesterone,dydrogesterone
Palonosetron,135729-75-8
Tacrine,"tacrine, cognex"
Dexrazoxane,razoxane
Sulpiride,sulpiride
Amlodipine,amlodipine besylate
Nimodipine,nimodipine
Triamterene,triamterene
Procyclidine,procyclidine hydrochloride
Profenamine,isothamine(profenamine)
Oxyphencyclimine,oxyphencyclimine
Beclomethasone dipropionate,beclomethasonedipropionate (beclometasone-dipropionate)
Carbimazole,carbimazole
Carisoprodol,carisoprodol
Alprazolam,alprazolam
Sorafenib,sorafenib
Zoledronic acid,zoledronic acid
Loxapine,loxapine
Griseofulvin,griseofulvin
Nisoldipine,nisoldipine
Remoxipride,(s)-remoxipride
Dexbrompheniramine,brompheniramine
Secobarbital,secobarbital
Carbamoylcholine,carbamylcholine
Rosiglitazone,rosiglitazone
Gentian violet cation,gentian violet
Promazine,promazine
Ampicillin,amiloride
Methylphenidate,methylphenidate
Zolpidem,zolpidem
Phenoxymethylpenicillin,phenoxymethylpenicillin
Methocarbamol,methocarbamol
Pramipexole,104617-86-9
Miglustat,"1-butyl-2-(hydroxymethyl)piperidine-3,4,5-triol"
Spironolactone,mls000678252
Streptozocin,ethosuximide
Prochlorperazine,phenobarbital
Cefpiramide,cefpiramide
Cyproheptadine,cyproheptadine
Bendroflumethiazide,bendroflumethiazide
Trifluridine,"thymidine,.alpha.,.alpha.-trifluoro-"
Epirubicin,nsc169534
Gemcitabine,3'-epi gemcitabine (gemcitabine impurity)
Betamethasone,dexamethasone
Loracarbef,loracarbef
Meperidine,meperidine
Droperidol,droperidol
Loratadine,loratadine
Prazosin,prazosin
Imipramine,imipramine
Levothyroxine,dl-thyroxine
Framycetin,neomycinbas2ethylbutyrate (framycetin)
Metharbital,metharbital
Quinine,quinidine (quinine)
Cefalotin,cefalotin
Fluoxetine,fluoxetine
Tenoxicam,tenoxicam
Methohexital,151-83-7
Acitretin,acitretin
Duloxetine,duloxetine
Chlorpromazine,50-53-3
Raloxifene,raloxifene
Celecoxib,"celecoxib, celebrex"
Dronabinol,dronabinol
Nabilone,cesamet
Sotalol,sotalol
Dicloxacillin,dicloxacillin sodium
Buspirone,buspirone
Zidovudine,zidovudine
Darifenacin,darifenacin
Brimonidine,brimonidine
Altretamine,altretamine
Oxycodone,oxycodone
Haloperidol,haloperidol
Miglitol,"1-(2-hydroxyethyl)-2-(hydroxymethyl)piperidine-3,4,5-triol"
Entacapone,entacapone
Triflupromazine,trifluopromazine
Levallorphan,brl52656
Flutamide,flutamide
Nitazoxanide,nitazoxanide
Tridihexethyl,tridihexethyl chloride
Carteolol,carteolol
Dextromethorphan,dextromethorphan
Dextrothyroxine,dl-thyroxine
Trandolapril,indolapril
Bentiromide,bentiromide
Metolazone,metolazone
Foscarnet,mesna
Rofecoxib,"rofecoxib, vioxx"
Tolnaftate,tolnaftate
Mephenytoin,mephenytoin
Cinchocaine,dibucaine
Nortriptyline,nortriptyline
Lercanidipine,lercanidipine
Amoxapine,amoxapine
Cyclophosphamide,cyclophosphamide
Fluorouracil,5-fluorouracil
Erlotinib,"tarceva, erlotinib"
Guanidine,guanidine
Toremifene,toremifene
Adinazolam,adinazolam
Benazepril,benazepril
Azelaic acid,gr94839_c
Desoximetasone,desoxymetasone
Lamotrigine,lamotrigine
Zafirlukast,zafirlukast
Acetohydroxamic acid,acetohydroxamic acid
Hydroxyzine,hydroxyzine
Doxapram,doxapram
Methoxsalen,methoxsalen
Methotrexate,amethopterin
Carbamazepine,carbamazepine
Propylthiouracil,propylthiouracil
Perflutren,perflutren
Propranolol,upcmld-dp067
Bosentan,bosentan
Zanamivir,zanamivir
Clonidine,2pnc
Benzthiazide,benzthiazide
Succimer,succimer
Cephalexin,keforal
Cinnarizine,cinnarizine
Mazindol,mazindol
Fenfluramine,fenfluramine
Sulfamethizole,sulfamethizole
Diclofenac,diclofenac
Lactulose,lactulose
Voriconazole,voriconazole
Enalapril,enalapril
Ethosuximide,ethosuximide
Lisuride,lysuride
Cinalukast,cinalukast
Fluocinolone acetonide,fluovitef
Ulobetasol,ft-0778082
Thiopental,thiopental (thiopentone)
Piperazine,piperazine citrate
Doxazosin,doxazosin mesylate
Medroxyprogesterone acetate,medroxyprogesterone
Cyclothiazide,cyclothiazide
Nafcillin,nafcillin
Paramethadione,paramethadione
Imatinib,imatinib
Butorphanol,torbugesic
Metaraminol,metaraminol
Testosterone,testosterone
Amodiaquine,amodiaquine
Fluphenazine,fluphenazine
Bisoprolol,bisoprolol fumarate
Oxandrolone,oxandrolone
Guanabenz,guanabenz
Efavirenz,efavirenz
Clorazepic acid,chlorazepate
Astemizole,astemizole
Niacin,niacin
Prednisone,fernisone
Clofarabine,clofarabine
Dexmedetomidine,medetomidine
Sulfacetamide,sulfacetamide
Dyclonine,dyclonine hydrochloride
Butoconazole,butoconazole
Dextropropoxyphene,dextropropoxyphene
Stavudine,stavudine
Pentazocine,pentazocine
Mitotane,mitotane
Trazodone,trazodone
Mebendazole,mebendazole
Verapamil,verapamil
Dyphylline,dyphylline
Metaxalone,metaxalone
Mecamylamine,mecamylamine
Flumethasone,flumethasone (flumetasone and diflorasone)
Trimethobenzamide,trimethobenzamide
Sumatriptan,sumatriptan
Epinephrine,dl-adrenaline
Galantamine,357-70-0
Sulfametopyrazine,sulfalene
Tamoxifen,s123
Nilutamide,nilutamide
Thioridazine,thioridazine
Isoflurophate,isoflurophate
Benzyl benzoate,benzyl benzoate
Midazolam,midazolam
Flurazepam,methylprednisolone
Tobramycin,tenebrimycin
Cephaloglycin,"(6r,7r)-3-(acetyloxymethyl)-7-[[(2r)-2-amino-2-phenylacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid"
Pentosan polysulfate,pentosan polysulfate
Mycophenolate mofetil,mycophenolate mofetil
Moricizine,moricizine
Nitrofurantoin,nitrofurantoin
Furosemide,furosemide
Moexipril,"[3s-[2[r*(r*)],3r*]]-2-[2-[[1-(ethoxycarbonyl)-3-phenylpropyl]amino]-1-oxopropyl]-1,2,3,4tetrahydro-6,7-dimethoxy-3-isoquinolinecarboxylic acid, monohydrochloride;[3s-[2[r*(r*)],3r*]]-2-[2-[[1-(ethoxycarbonyl)-3-phenylpropyl]amino]-1-oxopropyl]-1,2,3,4tetrahydro-6,7-dimethoxy-3-isoquinolinecarboxylic acid, monohydrochloride"
Amprenavir,chembl195725
Daunorubicin,hydrochlorothiazide
Ergotamine,ergotamine
Fluorescein,fluorescein
Nicergoline,sermion
Delavirdine,doxorubicin
Sufentanil,sufentanil
Tizanidine,tizanidine
Flurbiprofen,flurbiprofen
Eplerenone,eplerenone
Naltrexone,naltrexone-hcl
Tamsulosin,racemic tamsulosin
Oxacillin,cefamandole
Apomorphine,apomorphine_r
Lamivudine,mls003373964
Diethylcarbamazine,diethylcarbamazine citrate
Ibandronate,ibandronate
Paroxetine,"3-(1,3-benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine"
Procaine,procaine
Norethisterone,norethindrone
Nedocromil,nedocromil
Trimipramine,trimipramine
Adefovir dipivoxil,adefovir dipivoxil
Azatadine,azatadine
Lisinopril,lisinopril
Risperidone,risperidone
Clodronic acid,clodronic acid
Imiquimod,imiquimod
Nitroglycerin,nitroglycerin
Rocuronium,"[(2s,3s,5s,8r,9s,10s,13s,14s,16s,17r)-3-hydroxy-10,13-dimethyl-2-morpholin-4-yl-16-(1-prop-2-enylpyrrolidin-1-ium-1-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1h-cyclopenta[a]phenanthren-17-yl] acetate"
Riluzole,riluzole
Meclizine,meclizine
Mannitol,mannitol (d-mannitol)
Naftifine,naftifine
Thiabendazole,thiabendazole
